ate,open,high,low,close,volume,barCount,average
2022-01-31 14:58:00,21.05,21.085,21.05,21.085,-1,-1,-1.0
2022-01-31 14:59:00,21.085,21.095,21.085,21.085,-1,-1,-1.0
2022-01-31 15:00:00,21.085,21.09,21.085,21.085,-1,-1,-1.0
2022-01-31 15:01:00,21.085,21.09,21.085,21.085,-1,-1,-1.0
2022-01-31 15:02:00,21.085,21.145,21.085,21.135,-1,-1,-1.0
2022-01-31 15:03:00,21.135,21.17,21.13,21.135,-1,-1,-1.0
2022-01-31 15:04:00,21.135,21.175,21.135,21.16,-1,-1,-1.0
2022-01-31 15:05:00,21.16,21.16,21.145,21.145,-1,-1,-1.0
2022-01-31 15:06:00,21.145,21.155,21.135,21.135,-1,-1,-1.0
2022-01-31 15:07:00,21.135,21.14,21.11,21.125,-1,-1,-1.0
2022-01-31 15:08:00,21.125,21.125,21.09,21.105,-1,-1,-1.0
2022-01-31 15:09:00,21.105,21.145,21.105,21.135,-1,-1,-1.0
2022-01-31 15:10:00,21.135,21.155,21.135,21.155,-1,-1,-1.0
2022-01-31 15:11:00,21.155,21.155,21.145,21.145,-1,-1,-1.0
2022-01-31 15:12:00,21.145,21.245,21.135,21.215,-1,-1,-1.0
2022-01-31 15:13:00,21.215,21.25,21.215,21.23,-1,-1,-1.0
2022-01-31 15:14:00,21.23,21.255,21.225,21.255,-1,-1,-1.0
2022-01-31 15:15:00,21.255,21.265,21.245,21.245,-1,-1,-1.0
2022-01-31 15:16:00,21.245,21.28,21.205,21.215,-1,-1,-1.0
2022-01-31 15:17:00,21.215,21.225,21.2,21.2,-1,-1,-1.0
2022-01-31 15:18:00,21.2,21.2,21.17,21.17,-1,-1,-1.0
2022-01-31 15:19:00,21.17,21.175,21.165,21.165,-1,-1,-1.0
2022-01-31 15:20:00,21.165,21.165,21.095,21.095,-1,-1,-1.0
2022-01-31 15:21:00,21.095,21.15,21.085,21.15,-1,-1,-1.0
2022-01-31 15:22:00,21.15,21.16,21.14,21.145,-1,-1,-1.0
2022-01-31 15:23:00,21.145,21.23,21.145,21.17,-1,-1,-1.0
2022-01-31 15:24:00,21.17,21.23,21.165,21.2,-1,-1,-1.0
2022-01-31 15:25:00,21.2,21.21,21.2,21.2,-1,-1,-1.0
2022-01-31 15:26:00,21.2,21.25,21.2,21.25,-1,-1,-1.0
2022-01-31 15:27:00,21.25,21.265,21.165,21.165,-1,-1,-1.0
2022-01-31 15:28:00,21.165,21.2,21.165,21.2,-1,-1,-1.0
2022-01-31 15:29:00,21.2,21.225,21.2,21.22,-1,-1,-1.0
2022-01-31 15:30:00,21.22,21.24,21.215,21.235,-1,-1,-1.0
2022-01-31 15:31:00,21.235,21.265,21.235,21.265,-1,-1,-1.0
2022-01-31 15:32:00,21.265,21.31,21.26,21.31,-1,-1,-1.0
2022-01-31 15:33:00,21.31,21.33,21.305,21.32,-1,-1,-1.0
2022-01-31 15:34:00,21.32,21.32,21.305,21.31,-1,-1,-1.0
2022-01-31 15:35:00,21.31,21.31,21.305,21.31,-1,-1,-1.0
2022-01-31 15:36:00,21.31,21.365,21.295,21.36,-1,-1,-1.0
2022-01-31 15:37:00,21.36,21.365,21.355,21.365,-1,-1,-1.0
2022-01-31 15:38:00,21.365,21.365,21.295,21.295,-1,-1,-1.0
2022-01-31 15:39:00,21.295,21.33,21.295,21.33,-1,-1,-1.0
2022-01-31 15:40:00,21.33,21.33,21.315,21.315,-1,-1,-1.0
2022-01-31 15:41:00,21.315,21.345,21.315,21.345,-1,-1,-1.0
2022-01-31 15:42:00,21.345,21.345,21.32,21.32,-1,-1,-1.0
2022-01-31 15:43:00,21.32,21.325,21.3,21.315,-1,-1,-1.0
2022-01-31 15:44:00,21.315,21.325,21.315,21.32,-1,-1,-1.0
2022-01-31 15:45:00,21.32,21.32,21.315,21.315,-1,-1,-1.0
2022-01-31 15:46:00,21.315,21.345,21.28,21.345,-1,-1,-1.0
2022-01-31 15:47:00,21.345,21.51,21.34,21.455,-1,-1,-1.0
