date,open,high,low,close,volume,barCount,average
2022-01-28 22:04:00,831.425,833.245,830.72,831.56,-1,-1,-1.0
2022-01-28 22:05:00,831.56,832.595,830.81,831.755,-1,-1,-1.0
2022-01-28 22:06:00,831.755,832.065,830.005,830.73,-1,-1,-1.0
2022-01-28 22:07:00,830.73,830.745,829.07,830.265,-1,-1,-1.0
2022-01-28 22:08:00,830.265,832.18,829.995,831.7,-1,-1,-1.0
2022-01-28 22:09:00,831.7,832.33,831.235,831.685,-1,-1,-1.0
2022-01-28 22:10:00,831.685,831.685,829.735,830.2,-1,-1,-1.0
2022-01-28 22:11:00,830.2,830.895,827.3,827.605,-1,-1,-1.0
2022-01-28 22:12:00,827.605,828.145,825.5,826.29,-1,-1,-1.0
2022-01-28 22:13:00,826.29,826.825,825.01,825.7,-1,-1,-1.0
2022-01-28 22:14:00,825.7,827.535,825.69,827.275,-1,-1,-1.0
2022-01-28 22:15:00,827.275,829.89,827.22,829.225,-1,-1,-1.0
2022-01-28 22:16:00,829.225,829.725,827.73,828.555,-1,-1,-1.0
2022-01-28 22:17:00,828.555,829.825,827.92,828.01,-1,-1,-1.0
2022-01-28 22:18:00,828.01,829.625,827.005,829.54,-1,-1,-1.0
2022-01-28 22:19:00,829.54,832.05,829.33,831.29,-1,-1,-1.0
2022-01-28 22:20:00,831.29,833.7,829.76,832.94,-1,-1,-1.0
2022-01-28 22:21:00,832.94,834.925,832.63,833.28,-1,-1,-1.0
2022-01-28 22:22:00,833.28,833.84,831.885,833.425,-1,-1,-1.0
2022-01-28 22:23:00,833.425,833.875,831.59,832.3,-1,-1,-1.0
2022-01-28 22:24:00,832.3,833.12,831.87,832.675,-1,-1,-1.0
2022-01-28 22:25:00,832.675,834.245,831.625,831.995,-1,-1,-1.0
2022-01-28 22:26:00,831.995,832.035,829.33,831.06,-1,-1,-1.0
2022-01-28 22:27:00,831.06,831.715,829.67,830.245,-1,-1,-1.0
2022-01-28 22:28:00,830.245,830.735,829.005,829.26,-1,-1,-1.0
2022-01-28 22:29:00,829.26,830.355,828.59,828.725,-1,-1,-1.0
2022-01-28 22:30:00,828.725,828.825,824.21,824.72,-1,-1,-1.0
2022-01-28 22:31:00,824.72,824.73,823.005,823.61,-1,-1,-1.0
2022-01-28 22:32:00,823.61,826.515,823.61,825.92,-1,-1,-1.0
2022-01-28 22:33:00,825.92,829.48,825.59,828.115,-1,-1,-1.0
2022-01-28 22:34:00,828.115,829.68,827.77,827.84,-1,-1,-1.0
2022-01-28 22:35:00,827.84,829.83,827.455,829.81,-1,-1,-1.0
2022-01-28 22:36:00,829.81,830.85,828.335,828.815,-1,-1,-1.0
2022-01-28 22:37:00,828.815,830.9,828.12,829.55,-1,-1,-1.0
2022-01-28 22:38:00,829.55,830.555,828.01,829.245,-1,-1,-1.0
2022-01-28 22:39:00,829.245,830.265,828.9,829.515,-1,-1,-1.0
2022-01-28 22:40:00,829.515,830.77,828.715,829.305,-1,-1,-1.0
2022-01-28 22:41:00,829.305,830.135,828.415,829.67,-1,-1,-1.0
2022-01-28 22:42:00,829.67,830.345,829.105,830.26,-1,-1,-1.0
2022-01-28 22:43:00,830.26,832.415,829.855,831.82,-1,-1,-1.0
2022-01-28 22:44:00,831.82,834.97,831.72,834.13,-1,-1,-1.0
2022-01-28 22:45:00,834.13,834.405,832.56,833.445,-1,-1,-1.0
2022-01-28 22:46:00,833.445,834.64,832.785,834.045,-1,-1,-1.0
2022-01-28 22:47:00,834.045,835.905,833.085,835.86,-1,-1,-1.0
2022-01-28 22:48:00,835.86,838.725,835.78,838.38,-1,-1,-1.0
2022-01-28 22:49:00,838.38,838.9,837.195,838.735,-1,-1,-1.0
2022-01-28 22:50:00,838.735,844.185,838.735,843.185,-1,-1,-1.0
2022-01-28 22:51:00,843.185,843.31,840.085,841.035,-1,-1,-1.0
2022-01-28 22:52:00,841.035,841.72,839.805,839.875,-1,-1,-1.0
2022-01-28 22:53:00,839.875,840.54,838.53,839.015,-1,-1,-1.0
2022-01-28 22:54:00,839.015,841.95,839.015,840.2,-1,-1,-1.0
2022-01-28 22:55:00,840.2,842.805,839.925,841.475,-1,-1,-1.0
2022-01-28 22:56:00,841.475,846.94,841.235,846.67,-1,-1,-1.0
2022-01-28 22:57:00,846.67,846.67,844.845,845.61,-1,-1,-1.0
2022-01-28 22:58:00,845.61,845.765,844.21,845.72,-1,-1,-1.0
2022-01-28 22:59:00,845.72,847.365,845.65,846.17,-1,-1,-1.0
2022-01-28 23:00:00,846.17,846.865,845.205,846.03,-1,-1,-1.0
2022-01-28 23:01:00,846.03,847.9,845.77,847.69,-1,-1,-1.0
2022-01-28 23:02:00,847.69,848.7,847.69,848.7,-1,-1,-1.0
2022-01-28 23:03:00,848.7,849.245,848.68,849.01,-1,-1,-1.0
2022-01-28 23:04:00,849.01,849.04,848.585,848.795,-1,-1,-1.0
2022-01-28 23:05:00,848.795,849.255,848.585,849.255,-1,-1,-1.0
