
ticker=RIOT, epochs=18, units=31, prediction_days=60, dense_units=0.2,     ratio=[0.7982253]
ticker=RIOT, epochs=17, units=51, prediction_days=65, dense_units=0.2,     ratio=[0.77725863]
ticker=NIO, epochs=12, units=27, prediction_days=33, dense_units=0.2,     ratio=[0.82587296]
ticker=RIOT, epochs=12, units=39, prediction_days=14, dense_units=0.2,     ratio=[0.79802275]
ticker=RIOT, epochs=28, units=58, prediction_days=49, dense_units=0.2,     ratio=[0.7782517]
ticker=RIOT, epochs=21, units=33, prediction_days=67, dense_units=0.2,     ratio=[0.8335239]
ticker=NIO, epochs=20, units=43, prediction_days=9, dense_units=0.2,     ratio=[0.86442834]
ticker=NIO, epochs=10, units=52, prediction_days=40, dense_units=0.2,     ratio=[0.8365566]
ticker=NIO, epochs=20, units=42, prediction_days=42, dense_units=0.2,     ratio=[0.78832823]
ticker=NIO, epochs=15, units=49, prediction_days=41, dense_units=0.2,     ratio=[0.8176034]
ticker=RIOT, epochs=16, units=40, prediction_days=12, dense_units=0.2,     ratio=[0.87349516]
ticker=NIO, epochs=30, units=27, prediction_days=39, dense_units=0.2,     ratio=[0.81850594]
ticker=NIO, epochs=20, units=54, prediction_days=66, dense_units=0.2,     ratio=[0.7805141]
ticker=RIOT, epochs=16, units=32, prediction_days=66, dense_units=0.2,     ratio=[0.7862549]
ticker=NIO, epochs=26, units=35, prediction_days=9, dense_units=0.2,     ratio=[0.8649709]
ticker=RIOT, epochs=18, units=48, prediction_days=70, dense_units=0.2,     ratio=[0.8036337]
ticker=RIOT, epochs=25, units=32, prediction_days=11, dense_units=0.2,     ratio=[0.8126419]
ticker=RIOT, epochs=22, units=26, prediction_days=56, dense_units=0.2,     ratio=[0.8417937]
ticker=RIOT, epochs=18, units=26, prediction_days=55, dense_units=0.2,     ratio=[0.7749177]
ticker=RIOT, epochs=24, units=32, prediction_days=18, dense_units=0.2,     ratio=[0.87849087]
ticker=NIO, epochs=11, units=36, prediction_days=54, dense_units=0.2,     ratio=[0.8266925]
ticker=NIO, epochs=12, units=21, prediction_days=19, dense_units=0.2,     ratio=[0.74437356]
ticker=RIOT, epochs=27, units=30, prediction_days=59, dense_units=0.2,     ratio=[0.80026656]
ticker=RIOT, epochs=14, units=58, prediction_days=58, dense_units=0.2,     ratio=[0.8422176]
ticker=NIO, epochs=27, units=55, prediction_days=25, dense_units=0.2,     ratio=[0.89917684]
ticker=NIO, epochs=19, units=28, prediction_days=49, dense_units=0.2,     ratio=[0.763752]
ticker=NIO, epochs=28, units=32, prediction_days=11, dense_units=0.2,     ratio=[0.87524277]
ticker=RIOT, epochs=11, units=22, prediction_days=35, dense_units=0.2,     ratio=[0.66442597]
ticker=NIO, epochs=17, units=21, prediction_days=27, dense_units=0.2,     ratio=[0.8055735]
ticker=NIO, epochs=20, units=57, prediction_days=49, dense_units=0.2,     ratio=[0.83361953]
ticker=RIOT, epochs=16, units=21, prediction_days=19, dense_units=0.2,     ratio=[0.74392927]
ticker=RIOT, epochs=15, units=46, prediction_days=68, dense_units=0.2,     ratio=[0.73063225]
ticker=RIOT, epochs=17, units=36, prediction_days=42, dense_units=0.2,     ratio=[0.86679024]
